ID,Cohort,Program,College,major_2,concentration_1,hrs_enrolled,gender,state,ipeds_ethnicity,resid_commuter_sts,sport_1,sport_1_b,sport_2,sport_2_b,first_gen,hs_gpa,pell_eligible,ret_label,ret_label_b
649,79,50,2,0,0,15,1,14,6,2,25,0,5,0,0,3.52,0,3,1
650,79,50,2,0,0,18,1,14,6,2,24,1,5,0,0,3.73,0,3,1
653,79,24,2,0,0,14,1,14,6,2,25,0,5,0,1,3.72,1,3,1
657,87,24,2,0,0,16,1,14,6,2,16,1,5,0,1,4,1,3,1
658,87,33,2,0,0,16,1,14,6,2,25,0,5,0,0,3.83,0,3,1
664,87,55,1,0,0,12,1,14,6,2,0,1,5,0,0,3.54,0,3,1
665,79,37,1,0,0,15,0,14,1,2,5,1,5,0,1,3.2,1,3,1
668,87,52,1,0,0,16,1,14,6,2,19,1,5,0,0,3.95,1,0,0
676,79,4,1,0,0,15,1,14,6,2,16,1,5,0,0,3.64,0,3,1
679,79,50,2,0,0,15,1,14,6,2,16,1,5,0,0,3.7,1,3,1
680,79,54,1,0,0,16,1,14,6,2,16,1,5,0,0,3.88,0,3,1
681,79,49,2,0,0,16,1,14,2,2,25,0,5,0,0,3.7,0,3,1
682,79,50,2,0,0,15,1,14,6,2,25,0,5,0,1,3.64,1,0,0
683,79,37,1,0,0,15,0,14,6,2,5,1,5,0,1,2.64,0,3,1
684,79,59,0,0,0,16,1,14,2,2,16,1,5,0,1,2.5,0,1,0
685,79,32,2,0,0,16,1,14,2,2,25,0,5,0,1,0,1,1,0
686,79,45,1,0,0,14,1,14,6,0,25,0,5,0,0,2.76,0,0,0
693,87,18,3,0,0,16,0,14,6,2,9,1,5,0,0,2.61,0,3,1
694,87,16,3,0,0,16,1,14,6,2,20,1,5,0,1,3.88,0,3,1
709,87,0,3,1,1,15,0,15,6,2,12,1,5,0,1,3.94,0,3,1
713,79,58,1,0,0,12,0,17,6,0,2,1,5,0,0,3.91,0,3,1
716,87,57,3,0,0,15,0,17,1,2,5,1,5,0,1,2.4,0,0,0
719,79,52,1,0,0,12,1,14,2,2,25,0,5,0,0,3.35,0,0,0
720,79,52,1,0,0,12,1,14,6,2,25,0,5,0,0,3.49,0,0,0
721,79,55,1,0,0,15,1,14,6,0,25,0,5,0,0,3.33,1,3,1
722,79,4,1,0,0,14,0,14,6,2,12,1,5,0,0,3.65,1,3,1
723,79,4,1,0,0,15,0,14,3,0,25,0,5,0,0,3.15,0,3,1
724,79,4,1,0,0,15,1,14,6,0,0,1,5,0,1,3.75,0,3,1
725,79,4,1,0,0,15,1,14,6,0,25,0,5,0,1,3.35,1,3,1
726,79,6,1,0,0,17,0,14,6,0,25,0,5,0,1,3.65,0,3,1
727,79,4,1,0,1,15,1,14,6,2,25,0,5,0,0,4,0,0,0
731,87,4,1,0,0,15,0,14,3,0,25,0,5,0,0,3.65,0,3,1
733,87,5,1,0,0,14,1,14,6,2,25,0,5,0,0,3.95,1,3,1
734,87,4,1,0,0,15,0,14,6,2,25,0,5,0,0,3.88,0,3,1
735,87,4,1,0,0,15,1,14,4,2,20,1,5,0,0,4,0,3,1
736,87,4,1,0,0,15,1,14,6,1,25,0,5,0,1,3.87,0,3,1
737,87,3,1,0,0,15,1,14,6,2,25,0,5,0,0,3.88,1,3,1
738,87,4,1,0,0,15,1,14,6,2,25,0,5,0,1,3.44,1,3,1
739,87,4,1,0,0,15,1,14,3,0,25,0,5,0,1,3.97,1,0,0
764,87,52,1,0,0,15,0,14,6,2,25,0,5,0,1,2.68,1,3,1
765,79,52,1,0,0,15,1,14,6,0,25,0,5,0,1,3,0,3,1
767,87,41,1,0,1,16,1,14,6,2,25,0,5,0,0,4,0,3,1
768,79,13,3,0,0,15,0,14,6,0,6,1,1,1,1,3.5,0,3,1
